date,exchange_rate
2021-01-01,7.4392
2021-01-02,7.4392
2021-01-03,7.441906
2021-01-04,7.427
2021-01-05,7.3902
2021-01-06,7.3059
2021-01-07,7.33475
2021-01-08,7.3664
2021-01-09,7.3762
2021-01-10,7.35928
2021-01-11,7.4773
2021-01-12,7.4532
2021-01-13,7.402361
2021-01-14,7.371467
2021-01-15,7.4689
2021-01-16,7.4753
2021-01-17,7.470175
2021-01-18,7.4866
2021-01-19,7.47039
2021-01-20,7.4157
2021-01-21,7.370705
2021-01-22,7.4145
2021-01-23,7.4145
2021-01-24,7.418845
2021-01-25,7.412
2021-01-26,7.352905
2021-01-27,7.396925
2021-01-28,7.351628
2021-01-29,7.3149
2021-01-30,7.3149
2021-01-31,7.2828
2021-02-01,7.193457
2021-02-02,7.19761
2021-02-03,7.1616
2021-02-04,7.137615
2021-02-05,7.0538
2021-02-06,7.0538
2021-02-07,7.059625
2021-02-08,7.0813
2021-02-09,7.0679
2021-02-10,7.055386
2021-02-11,7.028885
2021-02-12,7.0353
2021-02-13,7.0353
2021-02-14,7.033945
2021-02-15,6.961755
2021-02-16,6.9878
2021-02-17,6.97324
2021-02-18,6.9739
2021-02-19,6.9637
2021-02-20,6.9637
2021-02-21,6.983925
2021-02-22,7.019
2021-02-23,7.1085
2021-02-24,7.168089
2021-02-25,7.345
2021-02-26,7.4253
2021-02-27,7.4253
2021-02-28,7.421875
2021-03-01,7.2812
2021-03-02,7.34881
2021-03-03,7.462025
2021-03-04,7.5289
2021-03-05,7.5388
2021-03-06,7.5388
2021-03-07,7.520265
2021-03-08,7.77044
2021-03-09,7.621583
2021-03-10,7.505
2021-03-11,7.480556
2021-03-12,7.5636
2021-03-13,7.5636
2021-03-14,7.565
2021-03-15,7.533095
2021-03-16,7.4932
2021-03-17,7.4987
2021-03-18,7.3243
2021-03-19,7.2191
2021-03-20,7.2191
2021-03-21,8.112904
2021-03-22,7.8305
2021-03-23,7.946095
2021-03-24,7.915
2021-03-25,7.9555
2021-03-26,8.1317
2021-03-27,8.1317
2021-03-28,8.1232
2021-03-29,8.266667
2021-03-30,8.3295
2021-03-31,8.2599
2021-04-01,8.124995
2021-04-02,8.16275
2021-04-03,8.16275
2021-04-04,8.189
2021-04-05,8.12226
2021-04-06,8.1499
2021-04-07,8.16404
2021-04-08,8.144995
2021-04-09,8.1674
2021-04-10,8.162
2021-04-11,8.179343
2021-04-12,8.1591
2021-04-13,8.11183
2021-04-14,8.0853
2021-04-15,8.0338
2021-04-16,8.07295
2021-04-17,8.07295
2021-04-18,8.080607
2021-04-19,8.0954
2021-04-20,8.115565
2021-04-21,8.200225
2021-04-22,8.3256
2021-04-23,8.3875
2021-04-24,8.3786
2021-04-25,8.4189
2021-04-26,8.2953
2021-04-27,8.2271
2021-04-28,8.204506
2021-04-29,8.2063
2021-04-30,8.2884
2021-05-01,8.2884
2021-05-02,8.291913
2021-05-03,8.264
2021-05-04,8.3243
2021-05-05,8.334
2021-05-06,8.2858
2021-05-07,8.2371
2021-05-08,8.2371
2021-05-09,8.2435
2021-05-10,8.275777
2021-05-11,8.2945
2021-05-12,8.4379
2021-05-13,8.5044
2021-05-14,8.447
2021-05-15,8.447
2021-05-16,8.4501
2021-05-17,8.3101
2021-05-18,8.361
2021-05-19,8.4156
2021-05-20,8.3827
2021-05-21,8.4177
2021-05-22,8.4177
2021-05-23,8.4212
2021-05-24,8.384145
2021-05-25,8.457045
2021-05-26,8.45603
2021-05-27,8.506
2021-05-28,8.5601
2021-05-29,8.5601
2021-05-30,8.57876
2021-05-31,8.4928
2021-06-01,8.6037
2021-06-02,8.5951
2021-06-03,8.7118
2021-06-04,8.6681
2021-06-05,8.6681
2021-06-06,8.678
2021-06-07,8.613325
2021-06-08,8.6047
2021-06-09,8.589229
2021-06-10,8.4303
2021-06-11,8.3868
2021-06-12,8.3868
2021-06-13,8.38843
2021-06-14,8.4648
2021-06-15,8.5609
2021-06-16,8.625
2021-06-17,8.72
2021-06-18,8.7419
2021-06-19,8.7419
2021-06-20,8.76083
2021-06-21,8.781466
2021-06-22,8.6509
2021-06-23,8.640235
2021-06-24,8.70389
2021-06-25,8.7659
2021-06-26,8.7659
2021-06-27,8.75767
2021-06-28,8.6886
2021-06-29,8.733255
2021-06-30,8.703825
2021-07-01,8.674525
2021-07-02,8.6899
2021-07-03,8.6899
2021-07-04,8.6934
2021-07-05,8.665
2021-07-06,8.6853
2021-07-07,8.68264
2021-07-08,8.6869
2021-07-09,8.6607
2021-07-10,8.6607
2021-07-11,8.6594
2021-07-12,8.6371
2021-07-13,8.6242
2021-07-14,8.588675
2021-07-15,8.56846
2021-07-16,8.523
2021-07-17,8.523
2021-07-18,8.539561
2021-07-19,8.5851
2021-07-20,8.5779
2021-07-21,8.5606
2021-07-22,8.5615
2021-07-23,8.5559
2021-07-24,8.5554
2021-07-25,8.5535
2021-07-26,8.56
2021-07-27,8.5611
2021-07-28,8.560271
2021-07-29,8.4576
2021-07-30,8.454
2021-07-31,8.454
2021-08-01,8.443449
2021-08-02,8.3548
2021-08-03,8.4062
2021-08-04,8.481605
2021-08-05,8.5306
2021-08-06,8.6311
2021-08-07,8.628
2021-08-08,8.6307
2021-08-09,8.65349
2021-08-10,8.6008
2021-08-11,8.6303
2021-08-12,8.5624
2021-08-13,8.5241
2021-08-14,8.5241
2021-08-15,8.5172
2021-08-16,8.460185
2021-08-17,8.433892
2021-08-18,8.459667
2021-08-19,8.5358
2021-08-20,8.4941
2021-08-21,8.4941
2021-08-22,8.4958
2021-08-23,8.431839
2021-08-24,8.4168
2021-08-25,8.381195
2021-08-26,8.38677
2021-08-27,8.3546
2021-08-28,8.3546
2021-08-29,8.357077
2021-08-30,8.376255
2021-08-31,8.318944
2021-09-01,8.29734
2021-09-02,8.2862
2021-09-03,8.3228
2021-09-04,8.3228
2021-09-05,8.322379
2021-09-06,8.2848
2021-09-07,8.3499
2021-09-08,8.4772
2021-09-09,8.444916
2021-09-10,8.4695
2021-09-11,8.4695
2021-09-12,8.4716
2021-09-13,8.4271
2021-09-14,8.43674
2021-09-15,8.4308
2021-09-16,8.537191
2021-09-17,8.644675
2021-09-18,8.644675
2021-09-19,8.644505
2021-09-20,8.6733
2021-09-21,8.6256
2021-09-22,8.6613
2021-09-23,8.77128
2021-09-24,8.8825
2021-09-25,8.8825
2021-09-26,8.86486
2021-09-27,8.8192
2021-09-28,8.871937
2021-09-29,8.924069
2021-09-30,8.8899
2021-10-01,8.861
2021-10-02,8.861
2021-10-03,8.8576
2021-10-04,8.8521
2021-10-05,8.869
2021-10-06,8.87725
2021-10-07,8.8783
2021-10-08,8.97
2021-10-09,8.9767
2021-10-10,8.962866
2021-10-11,9.000604
2021-10-12,9.042102
2021-10-13,9.151955
2021-10-14,9.1951
2021-10-15,9.2684
2021-10-16,9.2684
2021-10-17,9.26023
2021-10-18,9.3441
2021-10-19,9.3104
2021-10-20,9.22254
